#Chinese	#English	#Sentences
七誡運動歌	Song of Encouragement
 	 	國際佛光會的會議上，與會者齊聲高唱七誡運動歌，力爭發揚光大。
 	 	At the International Buddha's Light Association meeting, participants sang the Song of Encouragement in unison, striving to promote its values.
 	 	在頒獎典禮上，七誡運動歌響起，大家都被那份熱情和力量所感染。
 	 	During the awards ceremony, the Song of Encouragement was played, and everyone was moved by its passion and strength.
 	 	這首七誡運動歌強調了自律和團結的重要性，是我們理事會成員開會的必備曲目。
 	 	The Song of Encouragement emphasizes the importance of self-discipline and unity, making it a staple at our council member meetings.
 	 	行政文書組設計的海報上，特別引用了七誡運動歌中的句子，提醒大家時時自我反省。
 	 	The poster designed by the administrative documentation team featured quotes from the Song of Encouragement, reminding everyone to reflect on themselves regularly.
三壇大戒	Triple Platform Full Ordination Ceremony
 	 	在國際佛光會的年度三壇大戒上，大量來自世界各地的信徒聚集於此，接受戒律。
 	 	At the annual Triple Platform Full Ordination Ceremony of BLIA, a large number of devotees from around the world gathered to receive the precepts.
 	 	三壇大戒是僧人們恢復本心的一次誠心實修的重要儀式。
 	 	The Triple Platform Full Ordination Ceremony is a crucial ritual for monks to sincerely practice and restore their original mind.
 	 	參加三壇大戒，需要深入理解佛法的教義，同時也必須具備高度的道德標準。
 	 	Participating in the Triple Platform Full Ordination Ceremony requires a deep understanding of Buddhist teachings and a high moral standard.
 	 	在這次三壇大戒中，新戒者們將經歷三個階段的授戒過程，以全面學習佛教的戒律。
 	 	During this Triple Platform Full Ordination Ceremony, the new ordinands will undergo a three-stage ordination process to comprehensively learn the Buddhist precepts.
三好微電影國際創作競賽	Three Acts of Goodness International Microfilm Contest
 	 	這位年輕導演在今年的三好微電影國際創作競賽中榮獲大獎，展示了她對善行的獨特詮釋。
 	 	The young director won the grand prize at this year's Three Acts of Goodness International Microfilm Contest, showcasing her unique interpretation of acts of goodness.
 	 	三好微電影國際創作競賽吸引了來自全球的創作者，共同分享及推廣善良的價值。
 	 	The Three Acts of Goodness International Microfilm Contest attracts creators from around the world to share and promote the value of kindness.
 	 	每一部參賽作品在三好微電影國際創作競賽中都必須展現善良、慈悲與智慧的元素。
 	 	Every entry in the Three Acts of Goodness International Microfilm Contest must showcase the elements of kindness, compassion, and wisdom.
 	 	國際佛光會作為主辦單位之一，致力於通過三好微電影國際創作競賽來激勵年輕一代實踐三好精神。
 	 	As one of the organizers, the BLIA is committed to inspiring the younger generation to practice the Three Acts of Goodness through the International Microfilm Contest.
三寶頌	Ode To the Triple Gem
 	 	在佛教儀式中，信徒們會一起吟誦三寶頌，以表示對佛、法、僧三寶的敬仰。
 	 	During Buddhist ceremonies, devotees chant the Ode To the Triple Gem together to express their reverence for the Buddha, Dharma, and Sangha.
 	 	國際佛光會的理事會在會議開始時，集體吟唱了三寶頌，藉此凝聚所有成員的心靈。
 	 	The BLIA council sang the Ode To the Triple Gem collectively at the start of the meeting to unify the spirit of all members.
 	 	這本書的序言部分引用了三寶頌的內容，以強調佛教信仰的核心價值。
 	 	The foreword of the book quotes the Ode To the Triple Gem to emphasize the core values of Buddhist belief.
